system,T,seed,task,variant,has_tag,ctx_tokens,success,hit1,rr,latency_ms,cost_usd
MCP,300,1,task_008::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.3333333333333333,1.7399000062141567,0.15802500000000003
SYNAPSE,300,1,task_009::clean,clean,1,969,1.0,1.0,1.0,1.265399987460114,0.0072675000000000005
MCP,300,1,task_009::clean,clean,1,21070,1.0,1.0,1.0,1.66529999114573,0.15802500000000003
SYNAPSE,300,1,task_009::perturbed_0,perturbed_0,1,969,1.0,1.0,1.0,1.217900004121475,0.0072675000000000005
MCP,300,1,task_009::perturbed_0,perturbed_0,1,21070,1.0,1.0,1.0,1.6555000038351864,0.15802500000000003
SYNAPSE,300,1,task_009::perturbed_1,perturbed_1,1,969,1.0,1.0,1.0,1.2110999959986657,0.0072675000000000005
MCP,300,1,task_009::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.5,1.6253000067081302,0.15802500000000003
SYNAPSE,300,1,task_010::clean,clean,1,983,1.0,1.0,1.0,1.1539999977685511,0.007372500000000001
MCP,300,1,task_010::clean,clean,1,21070,1.0,1.0,1.0,1.6299999988405034,0.15802500000000003
SYNAPSE,300,1,task_010::perturbed_0,perturbed_0,0,981,1.0,1.0,1.0,1.2629999982891604,0.0073575
MCP,300,1,task_010::perturbed_0,perturbed_0,0,21070,1.0,1.0,1.0,1.712299999780953,0.15802500000000003
SYNAPSE,300,1,task_010::perturbed_1,perturbed_1,0,980,1.0,1.0,1.0,1.3029999972786754,0.007350000000000001
MCP,300,1,task_010::perturbed_1,perturbed_1,0,21070,1.0,1.0,1.0,1.7512000049464405,0.15802500000000003
SYNAPSE,300,1,task_011::clean,clean,1,982,1.0,1.0,1.0,1.1216999992029741,0.007365000000000001
MCP,300,1,task_011::clean,clean,1,21070,1.0,1.0,1.0,1.6039999900385737,0.15802500000000003
SYNAPSE,300,1,task_011::perturbed_0,perturbed_0,1,982,1.0,1.0,1.0,1.226599997607991,0.007365000000000001
MCP,300,1,task_011::perturbed_0,perturbed_0,1,21070,1.0,1.0,1.0,1.6087000112747774,0.15802500000000003
SYNAPSE,300,1,task_011::perturbed_1,perturbed_1,1,986,1.0,0.0,0.5,1.1314000003039837,0.0073950000000000005
MCP,300,1,task_011::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.5,1.606199992238544,0.15802500000000003
SYNAPSE,300,1,task_012::clean,clean,1,985,1.0,1.0,1.0,1.084100003936328,0.007387500000000001
MCP,300,1,task_012::clean,clean,1,21070,1.0,0.0,0.25,1.621800009161234,0.15802500000000003
SYNAPSE,300,1,task_012::perturbed_0,perturbed_0,1,985,1.0,1.0,1.0,1.0621999972499907,0.007387500000000001
MCP,300,1,task_012::perturbed_0,perturbed_0,1,21070,1.0,0.0,0.25,1.9108999986201525,0.15802500000000003
SYNAPSE,300,1,task_012::perturbed_1,perturbed_1,1,985,1.0,1.0,1.0,1.2611999991349876,0.007387500000000001
MCP,300,1,task_012::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.25,1.6718999977456406,0.15802500000000003
SYNAPSE,300,1,task_013::clean,clean,1,973,1.0,1.0,1.0,1.1636999988695607,0.0072975
MCP,300,1,task_013::clean,clean,1,21070,1.0,1.0,1.0,1.6293999942718074,0.15802500000000003
SYNAPSE,300,1,task_013::perturbed_0,perturbed_0,1,975,1.0,1.0,1.0,1.1177999986102805,0.0073125
MCP,300,1,task_013::perturbed_0,perturbed_0,1,21070,1.0,1.0,1.0,1.703400004771538,0.15802500000000003
SYNAPSE,300,1,task_013::perturbed_1,perturbed_1,1,978,1.0,1.0,1.0,1.3652000052388757,0.007335
MCP,300,1,task_013::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.5,2.137799994670786,0.15802500000000003
SYNAPSE,300,1,task_014::clean,clean,1,990,1.0,1.0,1.0,1.618800000869669,0.007425
MCP,300,1,task_014::clean,clean,1,21070,1.0,1.0,1.0,2.210100006777793,0.15802500000000003
SYNAPSE,300,1,task_014::perturbed_0,perturbed_0,1,988,1.0,1.0,1.0,1.4762999926460907,0.007410000000000001
MCP,300,1,task_014::perturbed_0,perturbed_0,1,21070,1.0,0.0,0.25,2.1509000071091577,0.15802500000000003
SYNAPSE,300,1,task_014::perturbed_1,perturbed_1,1,990,1.0,1.0,1.0,1.480699997046031,0.007425
MCP,300,1,task_014::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.5,2.1190999977989122,0.15802500000000003
SYNAPSE,300,1,task_015::clean,clean,1,995,1.0,1.0,1.0,1.3955999893369153,0.0074625
MCP,300,1,task_015::clean,clean,1,21070,1.0,1.0,1.0,1.7540999979246408,0.15802500000000003
SYNAPSE,300,1,task_015::perturbed_0,perturbed_0,1,994,1.0,1.0,1.0,1.1505000002216548,0.007455000000000001
MCP,300,1,task_015::perturbed_0,perturbed_0,1,21070,1.0,1.0,1.0,1.6314999957103282,0.15802500000000003
SYNAPSE,300,1,task_015::perturbed_1,perturbed_1,1,994,1.0,1.0,1.0,1.1052999907406047,0.007455000000000001
MCP,300,1,task_015::perturbed_1,perturbed_1,1,21070,1.0,1.0,1.0,1.6208000015467405,0.15802500000000003
SYNAPSE,300,1,task_016::clean,clean,1,985,1.0,1.0,1.0,1.2573999993037432,0.007387500000000001
MCP,300,1,task_016::clean,clean,1,21070,1.0,1.0,1.0,1.6108999989228323,0.15802500000000003
SYNAPSE,300,1,task_016::perturbed_0,perturbed_0,0,986,1.0,0.0,0.5,1.1227999930270016,0.0073950000000000005
MCP,300,1,task_016::perturbed_0,perturbed_0,0,21070,1.0,0.0,0.25,1.6095000028144568,0.15802500000000003
SYNAPSE,300,1,task_016::perturbed_1,perturbed_1,1,985,1.0,1.0,1.0,1.2457999982871115,0.007387500000000001
MCP,300,1,task_016::perturbed_1,perturbed_1,1,21070,1.0,1.0,1.0,1.6022000054363161,0.15802500000000003
SYNAPSE,300,1,task_017::clean,clean,1,990,1.0,1.0,1.0,1.2297000066610053,0.007425
MCP,300,1,task_017::clean,clean,1,21070,1.0,1.0,1.0,1.6109999996842816,0.15802500000000003
SYNAPSE,300,1,task_017::perturbed_0,perturbed_0,0,989,1.0,1.0,1.0,1.1540999985300004,0.0074175000000000005
MCP,300,1,task_017::perturbed_0,perturbed_0,0,21070,1.0,0.0,0.25,1.5928999928291887,0.15802500000000003
SYNAPSE,300,1,task_017::perturbed_1,perturbed_1,1,989,1.0,1.0,1.0,1.1703999916790053,0.0074175000000000005
MCP,300,1,task_017::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.25,1.678199987509288,0.15802500000000003
SYNAPSE,300,1,task_018::clean,clean,1,960,1.0,1.0,1.0,1.6202000115299597,0.007200000000000001
MCP,300,1,task_018::clean,clean,1,21070,1.0,1.0,1.0,1.767399997333996,0.15802500000000003
SYNAPSE,300,1,task_018::perturbed_0,perturbed_0,0,679,0.0,0.0,0.0,1.2069000076735392,0.005092500000000001
MCP,300,1,task_018::perturbed_0,perturbed_0,0,21070,1.0,0.0,0.3333333333333333,1.6207000007852912,0.15802500000000003
SYNAPSE,300,1,task_018::perturbed_1,perturbed_1,0,964,1.0,1.0,1.0,1.1326999956509098,0.00723
MCP,300,1,task_018::perturbed_1,perturbed_1,0,21070,1.0,1.0,1.0,1.5482999879168347,0.15802500000000003
SYNAPSE,300,1,task_019::clean,clean,1,968,1.0,1.0,1.0,1.1119000118924305,0.007260000000000001
MCP,300,1,task_019::clean,clean,1,21070,1.0,1.0,1.0,1.6582999960519373,0.15802500000000003
SYNAPSE,300,1,task_019::perturbed_0,perturbed_0,1,968,1.0,1.0,1.0,1.0987999994540587,0.007260000000000001
MCP,300,1,task_019::perturbed_0,perturbed_0,1,21070,1.0,1.0,1.0,1.8245000101160258,0.15802500000000003
SYNAPSE,300,1,task_019::perturbed_1,perturbed_1,1,679,0.0,0.0,0.0,1.4899999951012433,0.005092500000000001
MCP,300,1,task_019::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.14285714285714285,1.7478999943705276,0.15802500000000003
SYNAPSE,300,1,task_020::clean,clean,1,992,1.0,1.0,1.0,1.1814000026788563,0.00744
MCP,300,1,task_020::clean,clean,1,21070,1.0,1.0,1.0,2.452499989885837,0.15802500000000003
SYNAPSE,300,1,task_020::perturbed_0,perturbed_0,1,679,0.0,0.0,0.0,1.6019000031519681,0.005092500000000001
MCP,300,1,task_020::perturbed_0,perturbed_0,1,21070,1.0,1.0,1.0,1.3418000016827136,0.15802500000000003
SYNAPSE,300,1,task_020::perturbed_1,perturbed_1,1,992,1.0,1.0,1.0,1.0769000073196366,0.00744
MCP,300,1,task_020::perturbed_1,perturbed_1,1,21070,1.0,1.0,1.0,2.335200013476424,0.15802500000000003
SYNAPSE,300,1,task_021::clean,clean,1,993,1.0,1.0,1.0,1.2343999987933785,0.007447500000000001
MCP,300,1,task_021::clean,clean,1,21070,1.0,0.0,0.3333333333333333,1.6465999942738563,0.15802500000000003
SYNAPSE,300,1,task_021::perturbed_0,perturbed_0,1,990,1.0,0.0,0.5,1.0366000060457736,0.007425
