T,seed,precision1,hitk,mrr,ece,grounded_miss_acc
300,1,0.8111111111111111,0.8777777777777778,0.8444444444444444,0.1040201144826748,1.0
300,2,0.7444444444444445,0.8222222222222222,0.7814814814814814,0.10502010205079756,1.0
300,3,0.7777777777777778,0.8555555555555555,0.812962962962963,0.10285134635804472,1.0
300,4,0.8111111111111111,0.9,0.8518518518518519,0.10177782196121665,1.0
300,5,0.7888888888888889,0.8777777777777778,0.8333333333333334,0.12376144409494719,1.0
1000,1,0.8111111111111111,0.8888888888888888,0.8453703703703703,0.1335845298500457,1.0
1000,2,0.7111111111111111,0.8555555555555555,0.7703703703703704,0.0869877741249965,1.0
1000,3,0.7777777777777778,0.8888888888888888,0.8188888888888889,0.13472211578283674,1.0
1000,4,0.8,0.9222222222222223,0.8531481481481481,0.10943066316802172,1.0
1000,5,0.7777777777777778,0.8666666666666667,0.8194444444444444,0.11555550206918991,1.0
3000,1,0.7444444444444445,0.8666666666666667,0.7901851851851851,0.19004529383392804,1.0
3000,2,0.6222222222222222,0.7777777777777778,0.6753703703703704,0.1665845131879547,1.0
3000,3,0.7555555555555555,0.8777777777777778,0.7904894179894181,0.07997538721996882,1.0
3000,4,0.8,0.9,0.8352910052910052,0.09860423936325259,1.0
3000,5,0.7666666666666667,0.9,0.8204761904761905,0.1301881790374506,1.0
10000,1,0.6555555555555556,0.7666666666666667,0.7,0.2044270218704421,1.0
10000,2,0.5444444444444444,0.6666666666666666,0.5958333333333333,0.18252184481447012,1.0
10000,3,0.6444444444444445,0.7333333333333333,0.6824074074074074,0.1510417423923281,1.0
10000,4,0.6444444444444445,0.7444444444444445,0.680952380952381,0.1689964728091432,1.0
10000,5,0.6222222222222222,0.7777777777777778,0.6786111111111112,0.18038875278923716,1.0
30000,1,0.6222222222222222,0.7222222222222222,0.6480820105820105,0.17908370855111072,1.0
30000,2,0.5444444444444444,0.6,0.5675925925925926,0.15548440829091575,1.0
30000,3,0.5333333333333333,0.6666666666666666,0.5867724867724868,0.24395669903573575,1.0
30000,4,0.6222222222222222,0.6888888888888889,0.6457407407407407,0.19598215858157125,1.0
30000,5,0.6222222222222222,0.7,0.6509259259259259,0.16309727193117543,1.0
100000,1,0.5666666666666667,0.6444444444444445,0.5925,0.2329502403339673,1.0
100000,2,0.5111111111111111,0.5888888888888889,0.5392592592592592,0.19960295165410066,1.0
100000,3,0.4888888888888889,0.6555555555555556,0.5371560846560847,0.2875154501206614,1.0
100000,4,0.5666666666666667,0.6444444444444445,0.5944444444444444,0.21057239127948807,1.0
100000,5,0.6222222222222222,0.6666666666666666,0.6370370370370371,0.15895244016840437,1.0
