system,metric,T_lo,T_hi,mean_lo,mean_hi,ratio,cohens_d
SYNAPSE,ctx_tokens,300,100000,939.7711111111112,970.98,1.0332090319865121,-0.35964333167397633
SYNAPSE,success,300,100000,0.8666666666666667,0.64,0.7384615384615385,0.5443890923241375
SYNAPSE,hit1,300,100000,0.7866666666666666,0.5511111111111111,0.7005649717514124,0.5164061731419953
SYNAPSE,rr,300,100000,0.8248148148148149,0.5800793650793651,0.7032843671819873,0.5838672916229921
SYNAPSE,latency_ms,300,100000,1.3675002224044874,87.8617700001794,64.24991276834405,-2.3919469132901545
SYNAPSE,cost_usd,300,100000,0.007048283333333334,0.007282350000000001,1.0332090319865121,-0.3596433316739773
MCP,ctx_tokens,300,100000,21118.8,7088086.4,335.6292213572741,-14448.570985601908
MCP,success,300,100000,0.98,0.0,0.0,9.888489380194644
MCP,hit1,300,100000,0.5511111111111111,0.0,0.0,1.5652440700733832
MCP,rr,300,100000,0.6973835978835979,0.0,0.0,2.8084757758383945
MCP,latency_ms,300,100000,1.8860088885735928,3.4832491111269013,1.8468890216956066,-2.039628976989273
MCP,cost_usd,300,100000,0.15839100000000003,53.160648,335.62922135727405,-14448.570985601926
