bin_center,accuracy,confidence,count
0.05,nan,nan,0
0.15000000000000002,nan,nan,0
0.25,nan,nan,0
0.35000000000000003,nan,nan,0
0.45,nan,nan,0
0.55,0.34545454545454546,0.5895404370021256,55
0.6500000000000001,0.4794238683127572,0.6584714783611232,486
0.75,0.6144430844553244,0.755563434229448,817
0.8500000000000001,0.9531996179560649,0.8385590009723012,1047
0.95,1.0,0.9140596964993396,76
